シャトルJANコード一覧,,,,,,,,,,,,,
※キャピタル用,,,,,,,,,,,,,
1016,無印シャトル,805 4,MJ-805 4,④,4589752423566,,,,,,,,
1017,無印シャトル,601 2,MJ-601 2,②,4589752423573,,,,,,,,
1018,無印シャトル,601 3,MJ-601 3,③,4589752423580,,,,,,,,
1019,無印シャトル,601 4,MJ-601 4,④,4589752423597,,,,,,,,
1020,無印シャトル,602 2,MJ-602 2,②,4589752423603,,,,,,,,
1021,無印シャトル,602 3,MJ-602 3,③,4589752423610,,,,,,,,
1022,無印シャトル,602 4,MJ-602 4,④,4589752423627,,,,,,,,
1023,無印シャトル,805 1,MJ-805 1,①,4589752423634,,,,,,,,
1024,トマスカップ,スーパートーナメント5　1,ST-5 1,①,4589752423641,,,,,,,,
1025,トマスカップ,スーパートーナメント4　1,ST-4 1,①,4589752423658,,,,,,,,
1026,カワサキ,ソフトテニスボール　２P,KS-101,,4589752423665,,,,,,,,
1027,カワサキ,ソフトテニス回転ボール　２P,KS-103,,4589752423672,,,,,,,,
1028,カワサキ,ノンプレッシャーボール,KS-106,,4589752423689,,,,,,,,
900,トマスカップ,ハイブリッドフェザー０１　６P,HB-01　６P,③,4589752423313,,,,,,,,
90,トマスカップ,ハイブリッドフェザー０１　６P,HB-01　６P,④,4589752423320,,,,,,,,
1029,カワサキ,T-40　ピックルボール　６P,T-40 6p blpu,blue×purple,4589752423696,,,,,,,,
1030,カワサキ,T-26 ピックルボール 6P,T-26 6p MIX,MIX,4589752423702,,,,,,,,
1031,カワサキ,C-40 ピックルボール 3p,C-40,green,4589752423719,,,,,,,,
トマスカップ,,,,,,,,,,,,,
402,THOMAS CUP,ST-4   2,,,4953582191368,,,,,,,,
403,THOMAS CUP,ST-4   3,,,4953582191375,,,,,,,,
404,THOMAS CUP,ST-4   4,,,4953582191382,,,,,,,,
405,THOMAS CUP,ST-4   5,,,4953582191399,,,,,,,,
502,THOMAS CUP,ST-5   2,,,4953582191122,,,,,,,,
503,THOMAS CUP,ST-5   3,,,4953582191139,,,,,,,,
504,THOMAS CUP,ST-5   4,,,4953582191146,,,,,,,,
505,THOMAS CUP,ST-5   5,,,4953582191153,,,,,,,,
601,THOMAS CUP,ST-6   1,,,4953582191498,,,,,,,,
602,THOMAS CUP,ST-6   2,,,4953582191160,,,,,,,,
603,THOMAS CUP,ST-6   3,,,4953582191177,,,,,,,,
604,THOMAS CUP,ST-6   4,,,4953582191184,,,,,,,,
605,THOMAS CUP,ST-6   5,,,4953582191191,,,,,,,,
702,THOMAS CUP,ST-7   2,,,4953582191207,,,,,,,,
703,THOMAS CUP,ST-7   3,,,4953582191214,,,,,,,,
704,THOMAS CUP,ST-7   4,,,4953582191221,,,,,,,,
705,THOMAS CUP,ST-7   5,,,4953582191238,,,,,,,,
802,THOMAS CUP,ST-8   2,,,4953582191245,,,,,,,,
803,THOMAS CUP,ST-8   3,,,4953582191252,,,,,,,,
804,THOMAS CUP,ST-8   4,,,4953582191269,,,,,,,,
805,THOMAS CUP,ST-8   5,,,4953582191276,,,,,,,,
902,THOMAS CUP,ST-9   2,,,4953582191283,,,,,,,,
903,THOMAS CUP,ST-9   3,,,4953582191290,,,,,,,,
904,THOMAS CUP,ST-9   4,,,4953582191306,,,,,,,,
905,THOMAS CUP,ST-9   5,,,4953582191313,,,,,,,,
962,THOMAS CUP,ST-9 6pcs   2,,,4953582191320,,,,,,,,
